Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
5/10/2018,Awarded,Tomoko Schaller,Schaller,Tomoko,Setup Business Group,Evaluation of Community-based Drug User Health Hubs to Reduce Opioid Overdoses in NY State..,Centers for Disease Control and Prevention,106909,
5/15/2018,Awarded,Eli Rosenberg,Rosenberg,Eli,010 Epidemiology & Biostatistics,IPA - CDC,Centers for Disease Control and Prevention,36696,
5/29/2018,Not Funded,Susan Dietzel,Dietzel,Susan,010 Center for Human Services Research,Evaluation of LawHelp Interactive/Risk Detector Elder Justice Initiative,US Department of Justice,89085,Rose Greene
5/30/2018,Not Funded,Douglas Conklin,Conklin,Douglas,010 Biomedical Science,N-palmitoglycine signaling in lipogenic breast cancer,Department of Defense (CDMRP),577756,
5/30/2018,Not Funded,Martin Tenniswood,Tenniswood,Martin,010 Biomedical Science,Targeting Tumor Cell Senescence as a Novel Therapeutic for Breast Cancer,Department of Defense (CDMRP),643799,
5/31/2018,Awarded,James Dias,Dias,James,010 Biomedical Science,Comparison of Bemfola Drug Preparations  EU and South Korean Gonal-f Reference Products,Polymun Scientific,89408,
6/1/2018,Awarded,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,CSC Quick Clips,Health Research Inc,9018,
6/1/2018,Awarded,Gang Chen,Chen,Gang,010 Center for Policy Research,Analyzing Risks and Issues Relating to the New York City Teachers' Retirement System,Retirement Security Foundation,54653,
6/1/2018,Not Funded,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,Progression of Breast Cancer:  Defining the Role of Vitamin D,National Institutes of Health,237812,
6/1/2018,Not Funded,Mariola Moeyaert,Moeyaert,Mariola,010 Educational Psych & Method,The Power of Designing Multilevel Modeling to Synthesize Effect Sizes Including Moderators,American Psychological Association,6000,
6/4/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,DEVELOPMENT OF ENABLING CHEMICAL TOOLS FOR PEPTIDE AND PROTEIN MODIFICATION,National Institutes of Health,1786721,
6/5/2018,Not Funded,Jason Herschkowitz,Herschkowitz,Jason,010 Biomedical Science,Targeting the lncRNA AK001796 in triple negative breast cancer,National Cancer Institute,1975905,Mehmet Yigit
6/6/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,The Study of Methamphetamine induced changes in mitochondrial cell dynamics,National Institutes of Health,1949833,
6/7/2018,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Strategic Trade Control Implementing Regulations in Kenya and Morocco,US Department of State,394888,
6/8/2018,Awarded,Maria Dolores Cimini,Cimini,Maria Dolores,010 Counseling & Psychological Services,Project PHARM: Personalized Health Assessment Related to Medications (Administrative Supplement),National Institute on Drug Abuse,81696,Karen Sokolowski
6/8/2018,Not Funded,Andrea Wolfe,Wolfe,Andrea,010 Center for International Development,Sajhedari Support to Federalism in Nepal,US Agency for International Development,14867045,
